# index ABMAG VEGAMAG name fullname
43 4.73 4.65 wfc3_uvis_f606w "HST WFC3 UVIS F606W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
44 4.53 4.15 wfc3_uvis_f775w "HST WFC3 UVIS F775W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
45 4.52 4.11 wfc3_uvis_f814w "HST WFC3 UVIS F814W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
46 4.52 4.0 wfc3_uvis_f850lp "HST WFC3 UVIS F850LP (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/) Chip #1"
47 4.51 3.96 wfc3_ir_f098m "HST WFC3 IR F098M (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
48 4.53 3.89 wfc3_ir_f105w "HST WFC3 IR F105W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
49 4.54 3.79 wfc3_ir_f110w "HST WFC3 IR F110W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
50 4.56 3.67 wfc3_ir_f125w "HST WFC3 IR F125W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
51 4.6 3.52 wfc3_ir_f140w "HST WFC3 IR F140W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
52 4.65 3.4 wfc3_ir_f160w "HST WFC3 IR F160W (http://www.stsci.edu/~WFC3/UVIS/SystemThroughput/)"
53 5.99 3.21 irac_1 "Spitzer IRAC Channel 1 (3.6um)"
54 6.41 3.16 irac_2 "Spitzer IRAC Channel 2 (4.5um)"
55 6.87 3.12 irac_3 "Spitzer IRAC Channel 3 (5.8um)"
56 7.47 3.09 irac_4 "Spitzer IRAC Channel 4 (8.0um)"
57 5.13 3.3 isaac_ks "ISAAC Ks"
58 4.79 4.78 fors_v "FORS V"
59 4.6 4.41 fors_r "FORS R"
60 4.54 3.82 nicmos_f110w "HST NICMOS F110W"
61 4.68 3.37 nicmos_f160w "HST NICMOS F160W"
62 17.24 14.91 galex_nuv "GALEX NUV"
63 10.15 8.41 galex_fuv "GALEX FUV"
64 5.08 5.17 des_g "DES g (from Huan Lin, for DES camera)"
65 4.62 4.46 des_r "DES r (from Huan Lin, for DES camera)"
66 4.52 4.13 des_i "DES i (from Huan Lin, for DES camera)"
67 4.52 4.0 des_z "DES z (from Huan Lin, for DES camera)"
68 4.51 3.96 des_y "DES Y (from Huan Lin, for DES camera)"
69 4.52 4.01 wfcam_z "WFCAM Z (from Hewett et al. 2006, via A. Smith)"
70 4.51 3.91 wfcam_y "WFCAM Y (from Hewett et al. 2006, via A. Smith)"
71 4.56 3.65 wfcam_j "WFCAM J (from Hewett et al. 2006, via A. Smith)"
72 4.7 3.35 wfcam_h "WFCAM H (from Hewett et al. 2006, via A. Smith)"
73 5.17 3.3 wfcam_k "WFCAM K (from Hewett et al. 2006, via A. Smith)"
74 6.34 5.44 steidel_un "Steidel Un (via A. Shapley; see Steidel et al. 2003)"
75 5.08 5.19 steidel_g "Steidel G  (via A. Shapley; see Steidel et al. 2003)"
76 4.58 4.33 steidel_rs "Steidel Rs (via A. Shapley; see Steidel et al. 2003)"
77 4.52 4.09 steidel_i "Steidel I  (via A. Shapley; see Steidel et al. 2003)"
78 6.03 5.68 megacam_u "CFHT MegaCam u* (http://cadcwww.dao.nrc.ca/megapipe/docs/filters.html, Dec 2010)"
79 5.05 5.14 megacam_g "CFHT MegaCam g' (http://cadcwww.dao.nrc.ca/megapipe/docs/filters.html)"
80 4.63 4.48 megacam_r "CFHT MegaCam r' (http://cadcwww.dao.nrc.ca/megapipe/docs/filters.html)"
81 4.53 4.17 megacam_i "CFHT MegaCam i' (http://cadcwww.dao.nrc.ca/megapipe/docs/filters.html)"
82 4.51 4.0 megacam_z "CFHT MegaCam z' (http://cadcwww.dao.nrc.ca/megapipe/docs/filters.html)"
83 5.89 3.22 wise_w1 "3.4um WISE W1 (http://www.astro.ucla.edu/~wright/WISE/passbands.html)"
84 6.45 3.16 wise_w2 "4.6um WISE W2 (http://www.astro.ucla.edu/~wright/WISE/passbands.html)"
85 8.19 3.06 wise_w3 "12um WISE W3 (http://www.astro.ucla.edu/~wright/WISE/passbands.html)"
86 9.62 3.01 wise_w4 "22um WISE W4 22um (http://www.astro.ucla.edu/~wright/WISE/passbands.html)"
87 10.29 8.47 uvot_w2 "UVOT W2 (from Erik Hoversten, 2011)"
88 10.6 8.84 uvot_m2 "UVOT M2 (from Erik Hoversten, 2011)"
89 8.47 6.91 uvot_w1 "UVOT W1 (from Erik Hoversten, 2011)"
90 9.74 3.0 mips_24 "Spitzer MIPS 24um"
91 12.05 2.95 mips_70 "Spitzer MIPS 70um"
92 13.78 2.92 mips_160 "Spitzer MIPS 160um"
93 16.13 2.87 scuba_450wb "JCMT SCUBA 450WB (www.jach.hawaii.edu/JCMT/continuum/background/background.html)"
94 17.5 2.84 scuba_850wb "JCMT SCUBA 850WB"
95 12.07 2.95 pacs_70 "Herschel PACS 70um"
96 12.82 2.94 pacs_100 "Herschel PACS 100um"
97 13.81 2.92 pacs_160 "Herschel PACS 160um"
98 14.78 2.9 spire_250 "Herschel SPIRE 250um"
99 15.52 2.88 spire_350 "Herschel SPIRE 350um"
100 16.27 2.86 spire_500 "Herschel SPIRE 500um"
101 8.05 3.06 iras_12 "IRAS 12um"
102 9.62 3.01 iras_25 "IRAS 25um"
103 11.5 2.97 iras_60 "IRAS 60um"
104 12.77 2.94 iras_100 "IRAS 100um"
105 5.96 3.21 bessell_l "Bessell & Brett (1988) L band"
106 6.12 3.19 bessell_lp "Bessell & Brett (1988) L' band"
107 6.51 3.15 bessell_m "Bessell & Brett (1988) M band"
108 6.47 5.34 stromgren_u "Stromgren u (Bessell 2011)"
109 5.53 5.67 stromgren_v "Stromgren v (Bessell 2011)"
110 5.06 5.22 stromgren_b "Stromgren b (Bessell 2011)"
111 4.8 4.81 stromgren_y "Stromgren y (Bessell 2011)"
112 18.05 15.67 1500a "Idealized 1500A bandpass with 15% bandwidth, FWHM = 225A from M. Dickinson"
113 10.62 8.85 2300a "Idealized 2300A bandpass with 15% bandwidth, FWHM = 345A from M. Dickinson"
114 8.2 6.72 2800a "Idealized 2800A bandpass with 15% bandwidth, FWHM = 420A from M. Dickinson"
